outward_voyage_id,counts,voydepartureY
91651,230.0,1640.0
91881,230.0,1653.0
91473,230.0,1633.0
91474,230.0,1633.0
91475,230.0,1633.0
91476,230.0,1633.0
91477,230.0,1633.0
91478,189.0,1633.0
91479,148.0,1633.0
91480,348.0,1633.0
91481,56.0,1633.0
91482,159.0,1633.0
91483,230.0,1634.0
91484,200.0,1634.0
91485,230.0,1634.0
91486,230.0,1634.0
91487,230.0,1634.0
91488,230.0,1634.0
91489,230.0,1634.0
91490,230.0,1634.0
91491,230.0,1634.0
91492,230.0,1634.0
91493,230.0,1634.0
91494,230.0,1634.0
91495,230.0,1634.0
91496,230.0,1634.0
91497,230.0,1634.0
91498,230.0,1634.0
91499,230.0,1635.0
91500,230.0,1635.0
91501,230.0,1635.0
91502,230.0,1636.0
91503,230.0,1636.0
91504,230.0,1636.0
91505,230.0,1636.0
91506,230.0,1636.0
91507,230.0,1636.0
91508,230.0,1636.0
91509,230.0,1636.0
91510,230.0,1636.0
91511,230.0,1636.0
91512,230.0,1636.0
91513,230.0,1636.0
91514,230.0,1636.0
91515,230.0,1636.0
91516,230.0,1636.0
91517,230.0,1636.0
91518,230.0,1636.0
91519,230.0,1636.0
91520,230.0,1636.0
91521,230.0,1636.0
91522,230.0,1636.0
91523,160.0,1636.0
91524,300.0,1637.0
91525,230.0,1637.0
91526,230.0,1637.0
91527,230.0,1637.0
91528,230.0,1637.0
91529,230.0,1637.0
91530,230.0,1637.0
91531,230.0,1637.0
91532,230.0,1637.0
91533,230.0,1637.0
91534,230.0,1637.0
91535,230.0,1637.0
91536,230.0,1637.0
91537,230.0,1637.0
91538,80.0,1638.0
91539,80.0,1638.0
91540,230.0,1638.0
91620,230.0,1638.0
91621,230.0,1638.0
91622,40.0,1638.0
91623,230.0,1638.0
91624,230.0,1638.0
91625,230.0,1638.0
91626,230.0,1638.0
91627,300.0,1638.0
91628,230.0,1638.0
91629,250.0,1638.0
91630,230.0,1639.0
91631,230.0,1639.0
91632,230.0,1639.0
91633,230.0,1639.0
91634,230.0,1639.0
91635,230.0,1639.0
91636,230.0,1639.0
91637,230.0,1639.0
91638,230.0,1639.0
91639,230.0,1639.0
91640,230.0,1639.0
91641,230.0,1639.0
91642,230.0,1639.0
91643,230.0,1639.0
91644,230.0,1639.0
91645,230.0,1639.0
91646,230.0,1639.0
91647,230.0,1639.0
91648,230.0,1639.0
91649,230.0,1639.0
91650,230.0,1639.0
91652,230.0,1640.0
91653,230.0,1640.0
91654,230.0,1640.0
91655,230.0,1640.0
91656,230.0,1640.0
91657,230.0,1640.0
91658,230.0,1640.0
91659,230.0,1640.0
91660,230.0,1640.0
91661,230.0,1640.0
91662,230.0,1640.0
91664,230.0,1640.0
91663,230.0,1640.0
91665,230.0,1640.0
91666,230.0,1640.0
91667,230.0,1640.0
91668,230.0,1640.0
91669,230.0,1640.0
91670,230.0,1640.0
91671,230.0,1640.0
91672,230.0,1640.0
91673,230.0,1640.0
91674,230.0,1640.0
91675,230.0,1640.0
91676,230.0,1640.0
91677,230.0,1640.0
91678,230.0,1640.0
91679,92.0,1640.0
91680,230.0,1640.0
91681,230.0,1640.0
91682,230.0,1640.0
91683,230.0,1640.0
91684,230.0,1641.0
91685,230.0,1641.0
91686,230.0,1641.0
91687,230.0,1641.0
91688,230.0,1641.0
91689,230.0,1641.0
91690,230.0,1641.0
91691,230.0,1641.0
91692,230.0,1641.0
91693,230.0,1641.0
91694,230.0,1642.0
91695,230.0,1642.0
91696,230.0,1642.0
91697,230.0,1642.0
91698,230.0,1642.0
91699,230.0,1642.0
91700,230.0,1642.0
91701,230.0,1642.0
91702,230.0,1642.0
91703,230.0,1642.0
91704,230.0,1642.0
91705,230.0,1642.0
91706,230.0,1642.0
91707,230.0,1642.0
91708,230.0,1642.0
91709,230.0,1642.0
91710,230.0,1642.0
91711,230.0,1642.0
91712,230.0,1642.0
91713,230.0,1642.0
91714,230.0,1642.0
91715,230.0,1643.0
91716,114.0,1643.0
91717,230.0,1643.0
91718,230.0,1643.0
91719,129.0,1643.0
91720,284.0,1643.0
91721,230.0,1643.0
91722,230.0,1643.0
91723,230.0,1643.0
91724,230.0,1643.0
91725,230.0,1643.0
91726,230.0,1643.0
91727,52.0,1643.0
91728,41.0,1643.0
91729,230.0,1643.0
